phase,query_idx,filter_idx,actual_selectivity,estimated_selectivity,strategy_chosen,latency_ms,recall,reward,predict_overhead_us,route_overhead_us
learning,7,14,0.389405,0.3953333333333333,bitmap_prefilter,26.754666992928833,1.0,0.0,5624.9991757795215,0.9169962140731514
learning,21,2,0.09076,0.08566666666666667,bitmap_prefilter,5.365875993447844,1.0,0.7317062003276078,11290.998372714967,0.49999653128907084
learning,14,17,0.68122,0.6775,post_filter,0.6533750056405552,1.0,0.9673312497179722,2707.995008677244,1.1250012903474271
learning,4,0,0.05003,0.04666666666666667,post_filter,0.5611250016954727,1.0,0.9719437499152264,5083.005817141384,0.5410038284026086
learning,14,1,0.070755,0.07483333333333334,bitmap_prefilter,3.9642080082558095,1.0,0.8017895995872095,457.9997039400041,0.49999653128907084
learning,21,1,0.070755,0.07483333333333334,bitmap_prefilter,3.7410830045701005,1.0,0.812945849771495,457.9997039400041,0.4579997039400041
learning,17,7,0.210355,0.20866666666666667,post_filter,0.37966700620017946,0.9,0.0,2707.995008677244,0.6659975042566657
learning,34,6,0.178125,0.17883333333333334,bitmap_prefilter,9.778334009752143,1.0,0.5110832995123928,2415.996277704835,0.6659975042566657
learning,36,29,0.952505,0.9553333333333334,post_filter,0.632417002634611,1.0,0.9683791498682695,13874.996511731297,0.08299684850499034
learning,30,18,0.70283,0.6958333333333333,bitmap_prefilter,42.16141699725995,1.0,0.0,8374.998287763447,1.2090022210031748
learning,26,15,0.610595,0.6046666666666667,bitmap_prefilter,35.69308199803345,1.0,0.0,1166.9981176964939,1.0420044418424368
learning,42,3,0.12083,0.124,bitmap_prefilter,6.769958999939263,1.0,0.6615020500030369,1332.9990906640887,0.5420006345957518
learning,26,13,0.340115,0.3471666666666667,bitmap_prefilter,18.513791997975204,1.0,0.07431040010123979,3334.003849886358,0.7500057108700275
learning,3,23,0.82095,0.8133333333333334,post_filter,0.6811659986851737,1.0,0.9659417000657413,11500.000255182385,1.3329990906640887
learning,6,20,0.750325,0.7405,bitmap_prefilter,59.77450000500539,1.0,0.0,9499.999578110874,1.2079981388524175
learning,21,23,0.82095,0.8133333333333334,post_filter,0.739708004402928,1.0,0.9630145997798536,11333.99928221479,1.2909949873574078
learning,15,3,0.12083,0.124,bitmap_prefilter,6.877749998238869,1.0,0.6561125000880565,1125.0012903474271,0.49999653128907084
learning,28,17,0.68122,0.6775,bitmap_prefilter,37.91987499425886,1.0,0.0,2583.001332823187,1.1660013115033507
learning,17,5,0.16022,0.16,bitmap_prefilter,8.787584003584925,1.0,0.5606207998207537,1957.9965737648308,0.5839974619448185
learning,4,27,0.907765,0.9088333333333334,post_filter,0.6422500009648502,1.0,0.9678874999517575,10999.9964479357,0.12500095181167126
learning,35,14,0.389405,0.3953333333333333,bitmap_prefilter,27.51745799469063,1.0,0.0,5166.999471839517,0.8749993867240846
